fact_id,source,layer,lat,lon,geom_quality,area_fm_id,area_fm_nome,bairro,ano,mes,hora,dia_semana,category,orgao_responsavel,attributes_json,prov_file,prov_row_id,ingested_at
chamados_1746:1000001,chamados_1746,fator_urbano,-22.9110461,-43.1752216,ok,20,,Centro,2024,8,,,Área mal iluminada com circulação de pedestres,Rio Luz,"{""fonte"": ""1746"", ""tipo"": ""Iluminação Pública"", ""subtipo"": ""Lâmpada apagada""}",chamados_1746_amostra.csv,0,2026-05-25T00:00:00+00:00
chamados_1746:1000002,chamados_1746,fator_urbano,-22.9120000,-43.1760000,ok,20,,Centro,2024,9,,,Área mal iluminada com circulação de pedestres,Rio Luz,"{""fonte"": ""1746"", ""tipo"": ""Iluminação Pública"", ""subtipo"": ""Poste apagado""}",chamados_1746_amostra.csv,1,2026-05-25T00:00:00+00:00
chamados_1746:1000003,chamados_1746,fator_urbano,-22.9542228,-43.1929618,ok,9,,Botafogo,2024,10,,,Área mal iluminada com circulação de pedestres,Rio Luz,"{""fonte"": ""1746"", ""tipo"": ""Iluminação Pública"", ""subtipo"": ""Lâmpada apagada""}",chamados_1746_amostra.csv,2,2026-05-25T00:00:00+00:00
chamados_1746:1000004,chamados_1746,fator_urbano,-22.9428938,-43.181887,ok,14,,Botafogo,2024,11,,,Área mal iluminada com circulação de pedestres,Rio Luz,"{""fonte"": ""1746"", ""tipo"": ""Iluminação Pública"", ""subtipo"": ""Lâmpada apagada""}",chamados_1746_amostra.csv,3,2026-05-25T00:00:00+00:00
chamados_1746:1000005,chamados_1746,fator_urbano,-22.9852504,-43.2150297,ok,10,,Ipanema,2024,7,,,Vegetação encobrindo iluminação pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Poda de Árvore"", ""subtipo"": ""Solicitação de poda""}",chamados_1746_amostra.csv,4,2026-05-25T00:00:00+00:00
chamados_1746:1000006,chamados_1746,fator_urbano,-22.9158000,-43.2172985,ok,19,,Tijuca,2024,12,,,Vegetação encobrindo iluminação pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Árvore em Área Pública"", ""subtipo"": ""Solicitação de poda""}",chamados_1746_amostra.csv,5,2026-05-25T00:00:00+00:00
chamados_1746:1000007,chamados_1746,fator_urbano,-22.9110461,-43.1752216,ok,20,,Centro,2024,9,,,Vegetação encobrindo iluminação pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Poda de Árvore"", ""subtipo"": """"}",chamados_1746_amostra.csv,6,2026-05-25T00:00:00+00:00
chamados_1746:1000008,chamados_1746,fator_urbano,-22.9026791,-43.2104142,ok,2,,Santo Cristo,2024,8,,,Acúmulo de lixo em via pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Coleta Domiciliar"", ""subtipo"": ""Lixo acumulado em via pública""}",chamados_1746_amostra.csv,7,2026-05-25T00:00:00+00:00
chamados_1746:1000009,chamados_1746,fator_urbano,-22.9567946,-43.1776586,ok,12,,Botafogo,2024,10,,,Acúmulo de lixo em via pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Limpeza Urbana"", ""subtipo"": ""Lixo acumulado""}",chamados_1746_amostra.csv,8,2026-05-25T00:00:00+00:00
chamados_1746:1000010,chamados_1746,fator_urbano,-22.9059516,-43.5609253,ok,11,,Campo Grande,2024,11,,,Acúmulo de lixo em via pública,COMLURB,"{""fonte"": ""1746"", ""tipo"": ""Coleta Domiciliar"", ""subtipo"": ""Lixo acumulado em via pública""}",chamados_1746_amostra.csv,9,2026-05-25T00:00:00+00:00
chamados_1746:1000011,chamados_1746,fator_urbano,-22.9110461,-43.1752216,ok,20,,Centro,2024,9,,,Calçada quebrada / obstáculo no passeio,SECONSERVA,"{""fonte"": ""1746"", ""tipo"": ""Manutenção de Calçada"", ""subtipo"": """"}",chamados_1746_amostra.csv,10,2026-05-25T00:00:00+00:00
chamados_1746:1000012,chamados_1746,fator_urbano,-22.9542228,-43.1929618,ok,9,,Botafogo,2024,10,,,Calçada quebrada / obstáculo no passeio,SECONSERVA,"{""fonte"": ""1746"", ""tipo"": ""Reparo de Buraco em Calçada"", ""subtipo"": """"}",chamados_1746_amostra.csv,11,2026-05-25T00:00:00+00:00
chamados_1746:1000013,chamados_1746,fator_urbano,-22.9428938,-43.181887,ok,14,,Botafogo,2024,11,,,Calçada quebrada / obstáculo no passeio,SECONSERVA,"{""fonte"": ""1746"", ""tipo"": ""Manutenção de Calçada"", ""subtipo"": """"}",chamados_1746_amostra.csv,12,2026-05-25T00:00:00+00:00
